"Campaign","Status","Campaign type","Networks","Language","Daily budget PLN","Bid strategy","Default max CPC PLN","Geo zone","Custom parameter {_lang}","Custom parameter {_zone}","Final URL suffix","Launch","Desired status after QA"
"SRCH-PL-A-CORE","Paused","Search","Google Search only; partners off; display off","Polish","30","Manual CPC initially; evaluate Smart Bidding after qualified conversion data","4","core","pl","core","utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_content={creative}&utm_term={keyword}&lang={_lang}&zone={_zone}","Eligible after QA","Paused"
"SRCH-PL-B-WARSAW-FAR","Paused","Search","Google Search only; partners off; display off","Polish","NOT FUNDED","Manual CPC initially; evaluate Smart Bidding after qualified conversion data","4","warsaw_far","pl","warsaw_far","utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_content={creative}&utm_term={keyword}&lang={_lang}&zone={_zone}","Keep paused","Paused"
"SRCH-PL-C-OUTSIDE","Paused","Search","Google Search only; partners off; display off","Polish","NOT FUNDED","Manual CPC initially; evaluate Smart Bidding after qualified conversion data","4","outside","pl","outside","utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_content={creative}&utm_term={keyword}&lang={_lang}&zone={_zone}","Keep paused","Paused"
"SRCH-RU-A-CORE","Paused","Search","Google Search only; partners off; display off","Russian","10","Manual CPC initially; evaluate Smart Bidding after qualified conversion data","3","core","ru","core","utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_content={creative}&utm_term={keyword}&lang={_lang}&zone={_zone}","Eligible after QA","Enabled"
"SRCH-RU-B-WARSAW-FAR","Paused","Search","Google Search only; partners off; display off","Russian","NOT FUNDED","Manual CPC initially; evaluate Smart Bidding after qualified conversion data","3","warsaw_far","ru","warsaw_far","utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_content={creative}&utm_term={keyword}&lang={_lang}&zone={_zone}","Keep paused","Paused"
"SRCH-RU-C-OUTSIDE","Paused","Search","Google Search only; partners off; display off","Russian","NOT FUNDED","Manual CPC initially; evaluate Smart Bidding after qualified conversion data","3","outside","ru","outside","utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_content={creative}&utm_term={keyword}&lang={_lang}&zone={_zone}","Keep paused","Paused"
"SRCH-UK-A-CORE","Paused","Search","Google Search only; partners off; display off","Ukrainian","10","Manual CPC initially; evaluate Smart Bidding after qualified conversion data","3","core","uk","core","utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_content={creative}&utm_term={keyword}&lang={_lang}&zone={_zone}","Eligible after QA","Enabled"
"SRCH-UK-B-WARSAW-FAR","Paused","Search","Google Search only; partners off; display off","Ukrainian","NOT FUNDED","Manual CPC initially; evaluate Smart Bidding after qualified conversion data","3","warsaw_far","uk","warsaw_far","utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_content={creative}&utm_term={keyword}&lang={_lang}&zone={_zone}","Keep paused","Paused"
"SRCH-UK-C-OUTSIDE","Paused","Search","Google Search only; partners off; display off","Ukrainian","NOT FUNDED","Manual CPC initially; evaluate Smart Bidding after qualified conversion data","3","outside","uk","outside","utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_content={creative}&utm_term={keyword}&lang={_lang}&zone={_zone}","Keep paused","Paused"
"SRCH-EN-A-CORE","Paused","Search","Google Search only; partners off; display off","English","10","Manual CPC initially; evaluate Smart Bidding after qualified conversion data","3","core","en","core","utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_content={creative}&utm_term={keyword}&lang={_lang}&zone={_zone}","Eligible after QA","Enabled"
"SRCH-EN-B-WARSAW-FAR","Paused","Search","Google Search only; partners off; display off","English","NOT FUNDED","Manual CPC initially; evaluate Smart Bidding after qualified conversion data","3","warsaw_far","en","warsaw_far","utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_content={creative}&utm_term={keyword}&lang={_lang}&zone={_zone}","Keep paused","Paused"
"SRCH-EN-C-OUTSIDE","Paused","Search","Google Search only; partners off; display off","English","NOT FUNDED","Manual CPC initially; evaluate Smart Bidding after qualified conversion data","3","outside","en","outside","utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_content={creative}&utm_term={keyword}&lang={_lang}&zone={_zone}","Keep paused","Paused"
