"Campaign","Location","Google criterion ID","Target type","Presence setting","Initial bid adjustment","Action required"
"SRCH-PL-A-CORE","Ursynow","9061062","district","People in or regularly in this location","0%",""
"SRCH-PL-A-CORE","Natolin","9214859","neighbourhood","People in or regularly in this location","0%",""
"SRCH-PL-A-CORE","Wilanow","9061075","district","People in or regularly in this location","0%",""
"SRCH-PL-A-CORE","Mokotow","9061060","district","People in or regularly in this location","0%",""
"SRCH-PL-A-CORE","Sadyba","","radius/postal-codes","People in or regularly in this location","0%","Resolve as 3 km radius or confirmed postal codes in Google Ads"
"SRCH-PL-B-WARSAW-FAR","Srodmiescie","9061066","district","People in or regularly in this location","-20%",""
"SRCH-PL-B-WARSAW-FAR","Ochota","9061069","district","People in or regularly in this location","-20%",""
"SRCH-PL-B-WARSAW-FAR","Wola","9061063","district","People in or regularly in this location","-20%",""
"SRCH-PL-B-WARSAW-FAR","Ursus","9061072","district","People in or regularly in this location","-20%",""
"SRCH-PL-B-WARSAW-FAR","Praga-Polnoc","9061071","district","People in or regularly in this location","-30%",""
"SRCH-PL-B-WARSAW-FAR","Praga-Poludnie","9061061","district","People in or regularly in this location","-30%",""
"SRCH-PL-B-WARSAW-FAR","Wawer","9061070","district","People in or regularly in this location","-30%",""
"SRCH-PL-C-OUTSIDE","Piaseczno","1011410","city","People in or regularly in this location","-40%",""
"SRCH-PL-C-OUTSIDE","Konstancin-Jeziorna","1011401","city","People in or regularly in this location","-40%",""
"SRCH-PL-C-OUTSIDE","Grodzisk Mazowiecki","1031036","city","People in or regularly in this location","-50%",""
"SRCH-RU-A-CORE","Ursynow","9061062","district","People in or regularly in this location","0%",""
"SRCH-RU-A-CORE","Natolin","9214859","neighbourhood","People in or regularly in this location","0%",""
"SRCH-RU-A-CORE","Wilanow","9061075","district","People in or regularly in this location","0%",""
"SRCH-RU-A-CORE","Mokotow","9061060","district","People in or regularly in this location","0%",""
"SRCH-RU-A-CORE","Sadyba","","radius/postal-codes","People in or regularly in this location","0%","Resolve as 3 km radius or confirmed postal codes in Google Ads"
"SRCH-RU-B-WARSAW-FAR","Srodmiescie","9061066","district","People in or regularly in this location","-20%",""
"SRCH-RU-B-WARSAW-FAR","Ochota","9061069","district","People in or regularly in this location","-20%",""
"SRCH-RU-B-WARSAW-FAR","Wola","9061063","district","People in or regularly in this location","-20%",""
"SRCH-RU-B-WARSAW-FAR","Ursus","9061072","district","People in or regularly in this location","-20%",""
"SRCH-RU-B-WARSAW-FAR","Praga-Polnoc","9061071","district","People in or regularly in this location","-30%",""
"SRCH-RU-B-WARSAW-FAR","Praga-Poludnie","9061061","district","People in or regularly in this location","-30%",""
"SRCH-RU-B-WARSAW-FAR","Wawer","9061070","district","People in or regularly in this location","-30%",""
"SRCH-RU-C-OUTSIDE","Piaseczno","1011410","city","People in or regularly in this location","-40%",""
