"Campaign","Ad group","Status","Max CPC"
"Search PL Naprawa sieci Warszawa","WIFI-COVERAGE","Paused",""
"Search PL Naprawa sieci Warszawa","WIFI-NO-INTERNET","Paused",""
"Search PL Naprawa sieci Warszawa","ROUTER-SETUP","Paused",""
"Search PL Naprawa sieci Warszawa","LAN-REPAIR","Paused",""
"Search PL Naprawa sieci Warszawa","LAN-INSTALL","Paused",""
"Search RU Сети Варшава","WIFI-COVERAGE","Paused",""
"Search RU Сети Варшава","WIFI-NO-INTERNET","Paused",""
"Search RU Сети Варшава","ROUTER-SETUP","Paused",""
"Search RU Сети Варшава","LAN-REPAIR","Paused",""
"Search RU Сети Варшава","LAN-INSTALL","Paused",""
"SRCH-UK-A-CORE","WIFI-COVERAGE","Paused","3.00"
"SRCH-UK-A-CORE","WIFI-NO-INTERNET","Paused","3.00"
"SRCH-UK-A-CORE","ROUTER-SETUP","Paused","3.00"
"SRCH-UK-A-CORE","LAN-REPAIR","Paused","3.00"
"SRCH-UK-A-CORE","LAN-INSTALL","Paused","3.00"
"SRCH-EN-A-CORE","WIFI-COVERAGE","Paused","3.00"
"SRCH-EN-A-CORE","WIFI-NO-INTERNET","Paused","3.00"
"SRCH-EN-A-CORE","ROUTER-SETUP","Paused","3.00"
"SRCH-EN-A-CORE","LAN-REPAIR","Paused","3.00"
"SRCH-EN-A-CORE","LAN-INSTALL","Paused","3.00"
