"Campaign","Ad group","Keyword","Match type","Status","Final URL"
"Search PL Naprawa sieci Warszawa","INTENT-WIFI-COVERAGE","słaby zasięg wifi","Phrase","Enabled","https://naserwis.pl/naprawa-wifi/?intent=weak-wifi"
"Search PL Naprawa sieci Warszawa","INTENT-WIFI-COVERAGE","słaby zasięg wifi","Exact","Enabled","https://naserwis.pl/naprawa-wifi/?intent=weak-wifi"
"Search PL Naprawa sieci Warszawa","INTENT-WIFI-COVERAGE","słaby sygnał wifi","Phrase","Enabled","https://naserwis.pl/naprawa-wifi/?intent=weak-wifi"
"Search PL Naprawa sieci Warszawa","INTENT-WIFI-COVERAGE","słaby sygnał wifi","Exact","Enabled","https://naserwis.pl/naprawa-wifi/?intent=weak-wifi"
"Search PL Naprawa sieci Warszawa","INTENT-WIFI-COVERAGE","poprawa zasięgu wifi","Phrase","Enabled","https://naserwis.pl/naprawa-wifi/?intent=weak-wifi"
"Search PL Naprawa sieci Warszawa","INTENT-WIFI-COVERAGE","poprawa zasięgu wifi","Exact","Enabled","https://naserwis.pl/naprawa-wifi/?intent=weak-wifi"
"Search PL Naprawa sieci Warszawa","INTENT-WIFI-COVERAGE","wifi nie działa w całym domu","Phrase","Enabled","https://naserwis.pl/naprawa-wifi/?intent=weak-wifi"
"Search PL Naprawa sieci Warszawa","INTENT-WIFI-COVERAGE","wifi nie działa w całym domu","Exact","Enabled","https://naserwis.pl/naprawa-wifi/?intent=weak-wifi"
"Search PL Naprawa sieci Warszawa","INTENT-WIFI-COVERAGE","mesh wifi warszawa","Phrase","Enabled","https://naserwis.pl/naprawa-wifi/?intent=weak-wifi"
"Search PL Naprawa sieci Warszawa","INTENT-WIFI-COVERAGE","mesh wifi warszawa","Exact","Enabled","https://naserwis.pl/naprawa-wifi/?intent=weak-wifi"
"Search PL Naprawa sieci Warszawa","INTENT-WIFI-COVERAGE","wzmacnianie zasięgu wifi","Phrase","Enabled","https://naserwis.pl/naprawa-wifi/?intent=weak-wifi"
"Search PL Naprawa sieci Warszawa","INTENT-WIFI-COVERAGE","wzmacnianie zasięgu wifi","Exact","Enabled","https://naserwis.pl/naprawa-wifi/?intent=weak-wifi"
"Search PL Naprawa sieci Warszawa","INTENT-WIFI-NO-INTERNET","wifi nie działa","Phrase","Enabled","https://naserwis.pl/naprawa-wifi/?intent=no-internet"
"Search PL Naprawa sieci Warszawa","INTENT-WIFI-NO-INTERNET","wifi nie działa","Exact","Enabled","https://naserwis.pl/naprawa-wifi/?intent=no-internet"
"Search PL Naprawa sieci Warszawa","INTENT-WIFI-NO-INTERNET","brak internetu wifi","Phrase","Enabled","https://naserwis.pl/naprawa-wifi/?intent=no-internet"
"Search PL Naprawa sieci Warszawa","INTENT-WIFI-NO-INTERNET","brak internetu wifi","Exact","Enabled","https://naserwis.pl/naprawa-wifi/?intent=no-internet"
"Search PL Naprawa sieci Warszawa","INTENT-WIFI-NO-INTERNET","problem z wifi warszawa","Phrase","Enabled","https://naserwis.pl/naprawa-wifi/?intent=no-internet"
"Search PL Naprawa sieci Warszawa","INTENT-WIFI-NO-INTERNET","problem z wifi warszawa","Exact","Enabled","https://naserwis.pl/naprawa-wifi/?intent=no-internet"
"Search PL Naprawa sieci Warszawa","INTENT-WIFI-NO-INTERNET","naprawa wifi warszawa","Phrase","Enabled","https://naserwis.pl/naprawa-wifi/?intent=no-internet"
"Search PL Naprawa sieci Warszawa","INTENT-WIFI-NO-INTERNET","naprawa wifi warszawa","Exact","Enabled","https://naserwis.pl/naprawa-wifi/?intent=no-internet"
"Search PL Naprawa sieci Warszawa","INTENT-WIFI-NO-INTERNET","awaria wifi warszawa","Phrase","Enabled","https://naserwis.pl/naprawa-wifi/?intent=no-internet"
"Search PL Naprawa sieci Warszawa","INTENT-WIFI-NO-INTERNET","awaria wifi warszawa","Exact","Enabled","https://naserwis.pl/naprawa-wifi/?intent=no-internet"
"Search PL Naprawa sieci Warszawa","INTENT-WIFI-NO-INTERNET","wifi połączone bez internetu","Phrase","Enabled","https://naserwis.pl/naprawa-wifi/?intent=no-internet"
"Search PL Naprawa sieci Warszawa","INTENT-WIFI-NO-INTERNET","wifi połączone bez internetu","Exact","Enabled","https://naserwis.pl/naprawa-wifi/?intent=no-internet"
"Search PL Naprawa sieci Warszawa","INTENT-ROUTER-SETUP","konfiguracja routera","Phrase","Enabled","https://naserwis.pl/naprawa-wifi/?intent=router-setup"
"Search PL Naprawa sieci Warszawa","INTENT-ROUTER-SETUP","konfiguracja routera","Exact","Enabled","https://naserwis.pl/naprawa-wifi/?intent=router-setup"
"Search PL Naprawa sieci Warszawa","INTENT-ROUTER-SETUP","konfiguracja routera warszawa","Phrase","Enabled","https://naserwis.pl/naprawa-wifi/?intent=router-setup"
"Search PL Naprawa sieci Warszawa","INTENT-ROUTER-SETUP","konfiguracja routera warszawa","Exact","Enabled","https://naserwis.pl/naprawa-wifi/?intent=router-setup"
"Search PL Naprawa sieci Warszawa","INTENT-ROUTER-SETUP","ustawienie routera","Phrase","Enabled","https://naserwis.pl/naprawa-wifi/?intent=router-setup"
"Search PL Naprawa sieci Warszawa","INTENT-ROUTER-SETUP","ustawienie routera","Exact","Enabled","https://naserwis.pl/naprawa-wifi/?intent=router-setup"
"Search PL Naprawa sieci Warszawa","INTENT-ROUTER-SETUP","instalacja routera","Phrase","Enabled","https://naserwis.pl/naprawa-wifi/?intent=router-setup"
"Search PL Naprawa sieci Warszawa","INTENT-ROUTER-SETUP","instalacja routera","Exact","Enabled","https://naserwis.pl/naprawa-wifi/?intent=router-setup"
"Search PL Naprawa sieci Warszawa","INTENT-ROUTER-SETUP","konfiguracja mesh","Phrase","Enabled","https://naserwis.pl/naprawa-wifi/?intent=router-setup"
"Search PL Naprawa sieci Warszawa","INTENT-ROUTER-SETUP","konfiguracja mesh","Exact","Enabled","https://naserwis.pl/naprawa-wifi/?intent=router-setup"
"Search PL Naprawa sieci Warszawa","INTENT-ROUTER-SETUP","konfiguracja sieci wifi","Phrase","Enabled","https://naserwis.pl/naprawa-wifi/?intent=router-setup"
"Search PL Naprawa sieci Warszawa","INTENT-ROUTER-SETUP","konfiguracja sieci wifi","Exact","Enabled","https://naserwis.pl/naprawa-wifi/?intent=router-setup"
"Search PL Naprawa sieci Warszawa","INTENT-LAN-REPAIR","serwis sieci komputerowych","Phrase","Enabled","https://naserwis.pl/naprawa-sieci/?intent=lan-repair"
"Search PL Naprawa sieci Warszawa","INTENT-LAN-REPAIR","serwis sieci komputerowych","Exact","Enabled","https://naserwis.pl/naprawa-sieci/?intent=lan-repair"
"Search PL Naprawa sieci Warszawa","INTENT-LAN-REPAIR","naprawa sieci komputerowej","Phrase","Enabled","https://naserwis.pl/naprawa-sieci/?intent=lan-repair"
"Search PL Naprawa sieci Warszawa","INTENT-LAN-REPAIR","naprawa sieci komputerowej","Exact","Enabled","https://naserwis.pl/naprawa-sieci/?intent=lan-repair"
"Search PL Naprawa sieci Warszawa","INTENT-LAN-REPAIR","naprawa kabla internetowego","Phrase","Enabled","https://naserwis.pl/naprawa-sieci/?intent=lan-repair"
"Search PL Naprawa sieci Warszawa","INTENT-LAN-REPAIR","naprawa kabla internetowego","Exact","Enabled","https://naserwis.pl/naprawa-sieci/?intent=lan-repair"
"Search PL Naprawa sieci Warszawa","INTENT-LAN-REPAIR","naprawa gniazda rj45","Phrase","Enabled","https://naserwis.pl/naprawa-sieci/?intent=lan-repair"
"Search PL Naprawa sieci Warszawa","INTENT-LAN-REPAIR","naprawa gniazda rj45","Exact","Enabled","https://naserwis.pl/naprawa-sieci/?intent=lan-repair"
"Search PL Naprawa sieci Warszawa","INTENT-LAN-REPAIR","awaria sieci lan","Phrase","Enabled","https://naserwis.pl/naprawa-sieci/?intent=lan-repair"
"Search PL Naprawa sieci Warszawa","INTENT-LAN-REPAIR","awaria sieci lan","Exact","Enabled","https://naserwis.pl/naprawa-sieci/?intent=lan-repair"
"Search PL Naprawa sieci Warszawa","INTENT-LAN-REPAIR","naprawa lan warszawa","Phrase","Enabled","https://naserwis.pl/naprawa-sieci/?intent=lan-repair"
"Search PL Naprawa sieci Warszawa","INTENT-LAN-REPAIR","naprawa lan warszawa","Exact","Enabled","https://naserwis.pl/naprawa-sieci/?intent=lan-repair"
"Search PL Naprawa sieci Warszawa","INTENT-LAN-INSTALL","montaż sieci lan","Phrase","Enabled","https://naserwis.pl/montaz-sieci/?intent=lan-install"
"Search PL Naprawa sieci Warszawa","INTENT-LAN-INSTALL","montaż sieci lan","Exact","Enabled","https://naserwis.pl/montaz-sieci/?intent=lan-install"
