Row Type,Action,Asset action,Level,Campaign,Sitelink text,Final URL,Description,Description 2
Sitelink,Add,Create new,Campaign,Search PL Naprawa sieci Warszawa,Naprawa sieci LAN,https://naserwis.pl/naprawa-sieci/,Znajdziemy przerwę lub usterkę,"Kable, porty i gniazda RJ45"
Sitelink,Add,Create new,Campaign,Search PL Naprawa sieci Warszawa,Cennik usług,https://naserwis.pl/#services,Zobacz podstawowe ceny,Koszt uzgadniamy przed pracą
Sitelink,Add,Create new,Campaign,Search PL Naprawa sieci Warszawa,Wyślij zapytanie,https://naserwis.pl/#contact,Krótko opisz swój problem,Oddzwonimy i ustalimy termin
Sitelink,Add,Create new,Campaign,Search PL Naprawa sieci Warszawa,Opinie klientów,https://naserwis.pl/#reviews,Opinie o pracy naszego serwisu,Zobacz oceny klientów
Sitelink,Add,Create new,Campaign,Search RU Сети Варшава,Ремонт Wi-Fi,https://naserwis.pl/ru/naprawa-wifi/,Настройка роутера и Mesh,Улучшим покрытие и стабильность
Sitelink,Add,Create new,Campaign,Search RU Сети Варшава,Ремонт сети LAN,https://naserwis.pl/ru/naprawa-sieci/,Найдём обрыв или неисправность,"Кабели, порты и розетки RJ45"
Sitelink,Add,Create new,Campaign,Search RU Сети Варшава,Монтаж сети LAN,https://naserwis.pl/ru/montaz-sieci/,Кабельная сеть для дома и офиса,Розетки RJ45 и шкафы RACK
Sitelink,Add,Create new,Campaign,Search RU Сети Варшава,Цены на услуги,https://naserwis.pl/ru/#services,Посмотрите основные цены,Согласуем стоимость до работ
Sitelink,Add,Create new,Campaign,Search RU Сети Варшава,Оставить заявку,https://naserwis.pl/ru/#contact,Кратко опишите проблему,Перезвоним и согласуем время
Sitelink,Add,Create new,Campaign,Search RU Сети Варшава,Отзывы клиентов,https://naserwis.pl/ru/#reviews,Отзывы о работе сервиса,Посмотрите оценки клиентов
Sitelink,Add,Create new,Campaign,SRCH-EN-A-CORE,Wi-Fi Repair,https://naserwis.pl/en/naprawa-wifi/,Router and Mesh configuration,Improve coverage and stability
Sitelink,Add,Create new,Campaign,SRCH-EN-A-CORE,LAN Network Repair,https://naserwis.pl/en/naprawa-sieci/,Find cable and network faults,"Cables, ports and RJ45 sockets"
Sitelink,Add,Create new,Campaign,SRCH-EN-A-CORE,LAN Network Installation,https://naserwis.pl/en/montaz-sieci/,Wired networks for home and office,RJ45 sockets and RACK cabinets
Sitelink,Add,Create new,Campaign,SRCH-EN-A-CORE,Service Prices,https://naserwis.pl/en/#services,See our standard service prices,Cost agreed before work starts
Sitelink,Add,Create new,Campaign,SRCH-EN-A-CORE,Send an Enquiry,https://naserwis.pl/en/#contact,Briefly describe the problem,We'll call to arrange a time
Sitelink,Add,Create new,Campaign,SRCH-EN-A-CORE,Customer Reviews,https://naserwis.pl/en/#reviews,See feedback about our service,Read ratings from our customers
Sitelink,Add,Create new,Campaign,SRCH-UK-A-CORE,Ремонт Wi-Fi,https://naserwis.pl/uk/naprawa-wifi/,Налаштування роутера та Mesh,Покращимо покриття і стабільність
Sitelink,Add,Create new,Campaign,SRCH-UK-A-CORE,Ремонт мережі LAN,https://naserwis.pl/uk/naprawa-sieci/,Знайдемо обрив або несправність,"Кабелі, порти та розетки RJ45"
Sitelink,Add,Create new,Campaign,SRCH-UK-A-CORE,Монтаж мережі LAN,https://naserwis.pl/uk/montaz-sieci/,Кабельна мережа для дому й офісу,Розетки RJ45 та шафи RACK
Sitelink,Add,Create new,Campaign,SRCH-UK-A-CORE,Ціни на послуги,https://naserwis.pl/uk/#services,Перегляньте основні ціни,Вартість узгодимо до початку робіт
Sitelink,Add,Create new,Campaign,SRCH-UK-A-CORE,Надіслати заявку,https://naserwis.pl/uk/#contact,Коротко опишіть проблему,Передзвонимо та узгодимо час
Sitelink,Add,Create new,Campaign,SRCH-UK-A-CORE,Відгуки клієнтів,https://naserwis.pl/uk/#reviews,Відгуки про роботу сервісу,Перегляньте оцінки клієнтів
