"Negative list","Language","Keyword","Match type","Review note"
"NEG-PL-SERVICE","PL","praca","Phrase","Remove before import if this service is actually offered"
"NEG-PL-SERVICE","PL","oferty pracy","Phrase","Remove before import if this service is actually offered"
"NEG-PL-SERVICE","PL","kurs","Phrase","Remove before import if this service is actually offered"
"NEG-PL-SERVICE","PL","szkolenie","Phrase","Remove before import if this service is actually offered"
"NEG-PL-SERVICE","PL","wynagrodzenie","Phrase","Remove before import if this service is actually offered"
"NEG-PL-SERVICE","PL","za darmo","Phrase","Remove before import if this service is actually offered"
"NEG-PL-SERVICE","PL","darmowy","Phrase","Remove before import if this service is actually offered"
"NEG-PL-SERVICE","PL","poradnik","Phrase","Remove before import if this service is actually offered"
"NEG-PL-SERVICE","PL","jak zrobić","Phrase","Remove before import if this service is actually offered"
"NEG-PL-SERVICE","PL","sterownik","Phrase","Remove before import if this service is actually offered"
"NEG-PL-SERVICE","PL","download","Phrase","Remove before import if this service is actually offered"
"NEG-PL-SERVICE","PL","części","Phrase","Remove before import if this service is actually offered"
"NEG-PL-SERVICE","PL","naprawa telefonu","Phrase","Remove before import if this service is actually offered"
"NEG-PL-SERVICE","PL","naprawa ekranu","Phrase","Remove before import if this service is actually offered"
"NEG-PL-SERVICE","PL","wymiana baterii","Phrase","Remove before import if this service is actually offered"
"NEG-RU-SERVICE","RU","работа","Phrase","Remove before import if this service is actually offered"
"NEG-RU-SERVICE","RU","вакансии","Phrase","Remove before import if this service is actually offered"
"NEG-RU-SERVICE","RU","курс","Phrase","Remove before import if this service is actually offered"
"NEG-RU-SERVICE","RU","обучение","Phrase","Remove before import if this service is actually offered"
"NEG-RU-SERVICE","RU","зарплата","Phrase","Remove before import if this service is actually offered"
"NEG-RU-SERVICE","RU","бесплатно","Phrase","Remove before import if this service is actually offered"
"NEG-RU-SERVICE","RU","своими руками","Phrase","Remove before import if this service is actually offered"
"NEG-RU-SERVICE","RU","инструкция","Phrase","Remove before import if this service is actually offered"
"NEG-RU-SERVICE","RU","скачать","Phrase","Remove before import if this service is actually offered"
"NEG-RU-SERVICE","RU","драйвер","Phrase","Remove before import if this service is actually offered"
"NEG-RU-SERVICE","RU","запчасти","Phrase","Remove before import if this service is actually offered"
"NEG-RU-SERVICE","RU","ремонт телефона","Phrase","Remove before import if this service is actually offered"
"NEG-RU-SERVICE","RU","ремонт экрана","Phrase","Remove before import if this service is actually offered"
"NEG-RU-SERVICE","RU","замена батареи","Phrase","Remove before import if this service is actually offered"
"NEG-UK-SERVICE","UK","робота","Phrase","Remove before import if this service is actually offered"
"NEG-UK-SERVICE","UK","вакансії","Phrase","Remove before import if this service is actually offered"
"NEG-UK-SERVICE","UK","курс","Phrase","Remove before import if this service is actually offered"
"NEG-UK-SERVICE","UK","навчання","Phrase","Remove before import if this service is actually offered"
"NEG-UK-SERVICE","UK","зарплата","Phrase","Remove before import if this service is actually offered"
"NEG-UK-SERVICE","UK","безкоштовно","Phrase","Remove before import if this service is actually offered"
"NEG-UK-SERVICE","UK","своїми руками","Phrase","Remove before import if this service is actually offered"
"NEG-UK-SERVICE","UK","інструкція","Phrase","Remove before import if this service is actually offered"
"NEG-UK-SERVICE","UK","завантажити","Phrase","Remove before import if this service is actually offered"
"NEG-UK-SERVICE","UK","драйвер","Phrase","Remove before import if this service is actually offered"
"NEG-UK-SERVICE","UK","запчастини","Phrase","Remove before import if this service is actually offered"
"NEG-UK-SERVICE","UK","ремонт телефону","Phrase","Remove before import if this service is actually offered"
"NEG-UK-SERVICE","UK","ремонт екрана","Phrase","Remove before import if this service is actually offered"
"NEG-UK-SERVICE","UK","заміна батареї","Phrase","Remove before import if this service is actually offered"
"NEG-EN-SERVICE","EN","jobs","Phrase","Remove before import if this service is actually offered"
"NEG-EN-SERVICE","EN","vacancy","Phrase","Remove before import if this service is actually offered"
"NEG-EN-SERVICE","EN","course","Phrase","Remove before import if this service is actually offered"
"NEG-EN-SERVICE","EN","training","Phrase","Remove before import if this service is actually offered"
"NEG-EN-SERVICE","EN","salary","Phrase","Remove before import if this service is actually offered"
"NEG-EN-SERVICE","EN","free","Phrase","Remove before import if this service is actually offered"
"NEG-EN-SERVICE","EN","diy","Phrase","Remove before import if this service is actually offered"
"NEG-EN-SERVICE","EN","tutorial","Phrase","Remove before import if this service is actually offered"
"NEG-EN-SERVICE","EN","download","Phrase","Remove before import if this service is actually offered"
"NEG-EN-SERVICE","EN","driver","Phrase","Remove before import if this service is actually offered"
"NEG-EN-SERVICE","EN","parts","Phrase","Remove before import if this service is actually offered"
"NEG-EN-SERVICE","EN","phone repair","Phrase","Remove before import if this service is actually offered"
"NEG-EN-SERVICE","EN","screen repair","Phrase","Remove before import if this service is actually offered"
"NEG-EN-SERVICE","EN","battery replacement","Phrase","Remove before import if this service is actually offered"
