"Campaign","Ad group","Keyword","Match type","Status","Final URL"
"SRCH-UK-A-CORE","WIFI-REPAIR","ремонт wifi","Phrase","Enabled","https://naserwis.pl/uk/naprawa-wifi/"
"SRCH-UK-A-CORE","WIFI-REPAIR","ремонт wifi","Exact","Enabled","https://naserwis.pl/uk/naprawa-wifi/"
"SRCH-UK-A-CORE","WIFI-REPAIR","ремонт wifi варшава","Phrase","Enabled","https://naserwis.pl/uk/naprawa-wifi/"
"SRCH-UK-A-CORE","WIFI-REPAIR","ремонт wifi варшава","Exact","Enabled","https://naserwis.pl/uk/naprawa-wifi/"
"SRCH-UK-A-CORE","WIFI-REPAIR","налаштування роутера","Phrase","Enabled","https://naserwis.pl/uk/naprawa-wifi/"
"SRCH-UK-A-CORE","WIFI-REPAIR","налаштування роутера","Exact","Enabled","https://naserwis.pl/uk/naprawa-wifi/"
"SRCH-UK-A-CORE","WIFI-REPAIR","налаштування роутера варшава","Phrase","Enabled","https://naserwis.pl/uk/naprawa-wifi/"
"SRCH-UK-A-CORE","WIFI-REPAIR","налаштування роутера варшава","Exact","Enabled","https://naserwis.pl/uk/naprawa-wifi/"
"SRCH-UK-A-CORE","WIFI-REPAIR","встановлення mesh","Phrase","Enabled","https://naserwis.pl/uk/naprawa-wifi/"
"SRCH-UK-A-CORE","WIFI-REPAIR","встановлення mesh","Exact","Enabled","https://naserwis.pl/uk/naprawa-wifi/"
"SRCH-UK-A-CORE","WIFI-REPAIR","слабкий сигнал wifi","Phrase","Enabled","https://naserwis.pl/uk/naprawa-wifi/"
"SRCH-UK-A-CORE","WIFI-REPAIR","слабкий сигнал wifi","Exact","Enabled","https://naserwis.pl/uk/naprawa-wifi/"
"SRCH-UK-A-CORE","WIFI-REPAIR","не працює wifi","Phrase","Enabled","https://naserwis.pl/uk/naprawa-wifi/"
"SRCH-UK-A-CORE","WIFI-REPAIR","не працює wifi","Exact","Enabled","https://naserwis.pl/uk/naprawa-wifi/"
"SRCH-UK-A-CORE","LAN-INSTALL","монтаж мережі lan","Phrase","Enabled","https://naserwis.pl/uk/montaz-sieci/"
"SRCH-UK-A-CORE","LAN-INSTALL","монтаж мережі lan","Exact","Enabled","https://naserwis.pl/uk/montaz-sieci/"
"SRCH-UK-A-CORE","LAN-INSTALL","монтаж мережі lan варшава","Phrase","Enabled","https://naserwis.pl/uk/montaz-sieci/"
"SRCH-UK-A-CORE","LAN-INSTALL","монтаж мережі lan варшава","Exact","Enabled","https://naserwis.pl/uk/montaz-sieci/"
"SRCH-UK-A-CORE","LAN-INSTALL","структурована кабельна система","Phrase","Enabled","https://naserwis.pl/uk/montaz-sieci/"
"SRCH-UK-A-CORE","LAN-INSTALL","структурована кабельна система","Exact","Enabled","https://naserwis.pl/uk/montaz-sieci/"
"SRCH-UK-A-CORE","LAN-INSTALL","монтаж розетки rj45","Phrase","Enabled","https://naserwis.pl/uk/montaz-sieci/"
"SRCH-UK-A-CORE","LAN-INSTALL","монтаж розетки rj45","Exact","Enabled","https://naserwis.pl/uk/montaz-sieci/"
"SRCH-UK-A-CORE","LAN-INSTALL","обтиск кабелю rj45","Phrase","Enabled","https://naserwis.pl/uk/montaz-sieci/"
"SRCH-UK-A-CORE","LAN-INSTALL","обтиск кабелю rj45","Exact","Enabled","https://naserwis.pl/uk/montaz-sieci/"
"SRCH-UK-A-CORE","LAN-INSTALL","монтаж комп'ютерної мережі","Phrase","Enabled","https://naserwis.pl/uk/montaz-sieci/"
"SRCH-UK-A-CORE","LAN-INSTALL","монтаж комп'ютерної мережі","Exact","Enabled","https://naserwis.pl/uk/montaz-sieci/"
"SRCH-UK-A-CORE","LAN-INSTALL","монтаж шафи rack","Phrase","Enabled","https://naserwis.pl/uk/montaz-sieci/"
"SRCH-UK-A-CORE","LAN-INSTALL","монтаж шафи rack","Exact","Enabled","https://naserwis.pl/uk/montaz-sieci/"
"SRCH-UK-A-CORE","LAN-CCTV-REPAIR","ремонт мережі lan","Phrase","Enabled","https://naserwis.pl/uk/naprawa-sieci/"
"SRCH-UK-A-CORE","LAN-CCTV-REPAIR","ремонт мережі lan","Exact","Enabled","https://naserwis.pl/uk/naprawa-sieci/"
"SRCH-UK-A-CORE","LAN-CCTV-REPAIR","ремонт мережі lan варшава","Phrase","Enabled","https://naserwis.pl/uk/naprawa-sieci/"
"SRCH-UK-A-CORE","LAN-CCTV-REPAIR","ремонт мережі lan варшава","Exact","Enabled","https://naserwis.pl/uk/naprawa-sieci/"
"SRCH-UK-A-CORE","LAN-CCTV-REPAIR","обслуговування комп'ютерних мереж","Phrase","Enabled","https://naserwis.pl/uk/naprawa-sieci/"
"SRCH-UK-A-CORE","LAN-CCTV-REPAIR","обслуговування комп'ютерних мереж","Exact","Enabled","https://naserwis.pl/uk/naprawa-sieci/"
"SRCH-UK-A-CORE","LAN-CCTV-REPAIR","діагностика мережі lan","Phrase","Enabled","https://naserwis.pl/uk/naprawa-sieci/"
"SRCH-UK-A-CORE","LAN-CCTV-REPAIR","діагностика мережі lan","Exact","Enabled","https://naserwis.pl/uk/naprawa-sieci/"
