"Campaign","Ad group","Status","Final URL","Path 1","Path 2","Headline 1","Headline 2","Headline 3","Headline 4","Headline 5","Headline 6","Headline 7","Headline 8","Description 1","Description 2","Description 3","Description 4"
"SRCH-PL-A-CORE","WIFI-REPAIR","Paused","https://naserwis.pl/naprawa-wifi/","wifi","serwis","Naprawa Wi-Fi Warszawa","Konfiguracja Routera","Lepszy Zasięg Wi-Fi","Montaż Systemów Mesh","Serwis Z Dojazdem","Diagnoza Sieci Wi-Fi","Pomoc Dla Domu I Firmy","Umów Termin Telefonicznie","Diagnozujemy problemy z Wi-Fi, routerem i zasięgiem. Dojazd po uzgodnieniu.","Konfiguracja routera i Mesh w domu lub firmie. Jasne warunki przed wizytą.","Słaby zasięg albo zrywanie połączenia? Sprawdzimy sieć i zaproponujemy rozwiązanie.","Obsługa po polsku, ukraińsku, rosyjsku i angielsku. Zadzwoń lub wyślij formularz."
"SRCH-PL-A-CORE","LAN-INSTALL","Paused","https://naserwis.pl/montaz-sieci/","lan","montaz","Montaż Sieci LAN Warszawa","Okablowanie Strukturalne","Montaż Gniazd RJ45","Instalacja Szafy RACK","Sieć LAN Dla Firmy","Wycena Po Konsultacji","Serwis Z Dojazdem","Umów Oględziny Instalacji","Projektujemy i montujemy sieci LAN, gniazda RJ45 oraz szafy RACK w Warszawie.","Wstępna konsultacja telefoniczna. Koszt wizyty uzgadniamy przed przyjazdem.","Instalacje dla mieszkań, biur i lokali. Zakres i materiały potwierdzamy przed pracą.","Termin ustalamy indywidualnie. Zadzwoń albo prześlij krótki opis instalacji."
"SRCH-PL-A-CORE","LAN-CCTV-REPAIR","Paused","https://naserwis.pl/naprawa-sieci/","lan","naprawa","Naprawa Sieci LAN","Serwis Okablowania","Diagnostyka Sieci Firmowej","Naprawa Gniazd RJ45","Serwis Monitoringu CCTV","Dojazd Na Terenie Warszawy","Jasne Warunki Wizyty","Zgłoś Awarię Sieci","Lokalizujemy usterki LAN, okablowania i gniazd RJ45. Zakres ustalamy przed pracą.","Pomagamy przy awariach sieci i monitoringu CCTV w domu, biurze lub lokalu.","Dojazd i termin po uzgodnieniu. Bez obietnic naprawy przed wykonaniem diagnozy.","Opisz problem w formularzu albo zadzwoń. Odpowiemy i ustalimy następny krok."
"SRCH-PL-A-CORE","PC-LAPTOP-REPAIR","Paused","https://naserwis.pl/","komputer","serwis","Naprawa Komputerów Warszawa","Serwis Laptopów","Komputer Działa Wolno?","Diagnostyka Komputera","Serwis Z Dojazdem","Pomoc Dla Domu I Firmy","Warunki Przed Naprawą","Umów Termin Telefonicznie","Diagnozujemy komputery i laptopy. Zakres oraz koszt potwierdzamy przed naprawą.","Wolny komputer lub awaria sprzętu? Umów diagnostykę i wizytę w Warszawie.","Dojazd i termin po uzgodnieniu. Części i dodatkowe prace wymagają akceptacji.","Zadzwoń albo opisz problem w formularzu. Ustalimy właściwy następny krok."
"SRCH-PL-A-CORE","IT-GENERAL","Paused","https://naserwis.pl/","it","warszawa","Serwis IT Warszawa","Informatyk Z Dojazdem","Pomoc IT Dla Domu I Firmy","Wsparcie Sieci I Komputerów","Obsługa W 4 Językach","Termin Po Uzgodnieniu","Przejrzyste Warunki Usługi","Skontaktuj Się Z Serwisem","Pomoc IT z dojazdem w Warszawie: sieci, Wi-Fi i konfiguracja sprzętu.","Obsługa po polsku, ukraińsku, rosyjsku i angielsku. Termin po uzgodnieniu.","Najpierw poznajemy problem, potem potwierdzamy zakres i warunki wizyty.","Zadzwoń, napisz na komunikatorze lub wyślij formularz kontaktowy."
"SRCH-PL-B-WARSAW-FAR","WIFI-REPAIR","Paused","https://naserwis.pl/naprawa-wifi/","wifi","serwis","Naprawa Wi-Fi Warszawa","Konfiguracja Routera","Lepszy Zasięg Wi-Fi","Montaż Systemów Mesh","Serwis Z Dojazdem","Diagnoza Sieci Wi-Fi","Pomoc Dla Domu I Firmy","Umów Termin Telefonicznie","Diagnozujemy problemy z Wi-Fi, routerem i zasięgiem. Dojazd po uzgodnieniu.","Konfiguracja routera i Mesh w domu lub firmie. Jasne warunki przed wizytą.","Słaby zasięg albo zrywanie połączenia? Sprawdzimy sieć i zaproponujemy rozwiązanie.","Obsługa po polsku, ukraińsku, rosyjsku i angielsku. Zadzwoń lub wyślij formularz."
"SRCH-PL-B-WARSAW-FAR","LAN-INSTALL","Paused","https://naserwis.pl/montaz-sieci/","lan","montaz","Montaż Sieci LAN Warszawa","Okablowanie Strukturalne","Montaż Gniazd RJ45","Instalacja Szafy RACK","Sieć LAN Dla Firmy","Wycena Po Konsultacji","Serwis Z Dojazdem","Umów Oględziny Instalacji","Projektujemy i montujemy sieci LAN, gniazda RJ45 oraz szafy RACK w Warszawie.","Wstępna konsultacja telefoniczna. Koszt wizyty uzgadniamy przed przyjazdem.","Instalacje dla mieszkań, biur i lokali. Zakres i materiały potwierdzamy przed pracą.","Termin ustalamy indywidualnie. Zadzwoń albo prześlij krótki opis instalacji."
"SRCH-PL-B-WARSAW-FAR","LAN-CCTV-REPAIR","Paused","https://naserwis.pl/naprawa-sieci/","lan","naprawa","Naprawa Sieci LAN","Serwis Okablowania","Diagnostyka Sieci Firmowej","Naprawa Gniazd RJ45","Serwis Monitoringu CCTV","Dojazd Na Terenie Warszawy","Jasne Warunki Wizyty","Zgłoś Awarię Sieci","Lokalizujemy usterki LAN, okablowania i gniazd RJ45. Zakres ustalamy przed pracą.","Pomagamy przy awariach sieci i monitoringu CCTV w domu, biurze lub lokalu.","Dojazd i termin po uzgodnieniu. Bez obietnic naprawy przed wykonaniem diagnozy.","Opisz problem w formularzu albo zadzwoń. Odpowiemy i ustalimy następny krok."
"SRCH-PL-B-WARSAW-FAR","PC-LAPTOP-REPAIR","Paused","https://naserwis.pl/","komputer","serwis","Naprawa Komputerów Warszawa","Serwis Laptopów","Komputer Działa Wolno?","Diagnostyka Komputera","Serwis Z Dojazdem","Pomoc Dla Domu I Firmy","Warunki Przed Naprawą","Umów Termin Telefonicznie","Diagnozujemy komputery i laptopy. Zakres oraz koszt potwierdzamy przed naprawą.","Wolny komputer lub awaria sprzętu? Umów diagnostykę i wizytę w Warszawie.","Dojazd i termin po uzgodnieniu. Części i dodatkowe prace wymagają akceptacji.","Zadzwoń albo opisz problem w formularzu. Ustalimy właściwy następny krok."
"SRCH-PL-B-WARSAW-FAR","IT-GENERAL","Paused","https://naserwis.pl/","it","warszawa","Serwis IT Warszawa","Informatyk Z Dojazdem","Pomoc IT Dla Domu I Firmy","Wsparcie Sieci I Komputerów","Obsługa W 4 Językach","Termin Po Uzgodnieniu","Przejrzyste Warunki Usługi","Skontaktuj Się Z Serwisem","Pomoc IT z dojazdem w Warszawie: sieci, Wi-Fi i konfiguracja sprzętu.","Obsługa po polsku, ukraińsku, rosyjsku i angielsku. Termin po uzgodnieniu.","Najpierw poznajemy problem, potem potwierdzamy zakres i warunki wizyty.","Zadzwoń, napisz na komunikatorze lub wyślij formularz kontaktowy."
"SRCH-PL-C-OUTSIDE","WIFI-REPAIR","Paused","https://naserwis.pl/naprawa-wifi/","wifi","serwis","Naprawa Wi-Fi Warszawa","Konfiguracja Routera","Lepszy Zasięg Wi-Fi","Montaż Systemów Mesh","Serwis Z Dojazdem","Diagnoza Sieci Wi-Fi","Pomoc Dla Domu I Firmy","Umów Termin Telefonicznie","Diagnozujemy problemy z Wi-Fi, routerem i zasięgiem. Dojazd po uzgodnieniu.","Konfiguracja routera i Mesh w domu lub firmie. Jasne warunki przed wizytą.","Słaby zasięg albo zrywanie połączenia? Sprawdzimy sieć i zaproponujemy rozwiązanie.","Obsługa po polsku, ukraińsku, rosyjsku i angielsku. Zadzwoń lub wyślij formularz."
"SRCH-PL-C-OUTSIDE","LAN-INSTALL","Paused","https://naserwis.pl/montaz-sieci/","lan","montaz","Montaż Sieci LAN Warszawa","Okablowanie Strukturalne","Montaż Gniazd RJ45","Instalacja Szafy RACK","Sieć LAN Dla Firmy","Wycena Po Konsultacji","Serwis Z Dojazdem","Umów Oględziny Instalacji","Projektujemy i montujemy sieci LAN, gniazda RJ45 oraz szafy RACK w Warszawie.","Wstępna konsultacja telefoniczna. Koszt wizyty uzgadniamy przed przyjazdem.","Instalacje dla mieszkań, biur i lokali. Zakres i materiały potwierdzamy przed pracą.","Termin ustalamy indywidualnie. Zadzwoń albo prześlij krótki opis instalacji."
"SRCH-PL-C-OUTSIDE","LAN-CCTV-REPAIR","Paused","https://naserwis.pl/naprawa-sieci/","lan","naprawa","Naprawa Sieci LAN","Serwis Okablowania","Diagnostyka Sieci Firmowej","Naprawa Gniazd RJ45","Serwis Monitoringu CCTV","Dojazd Na Terenie Warszawy","Jasne Warunki Wizyty","Zgłoś Awarię Sieci","Lokalizujemy usterki LAN, okablowania i gniazd RJ45. Zakres ustalamy przed pracą.","Pomagamy przy awariach sieci i monitoringu CCTV w domu, biurze lub lokalu.","Dojazd i termin po uzgodnieniu. Bez obietnic naprawy przed wykonaniem diagnozy.","Opisz problem w formularzu albo zadzwoń. Odpowiemy i ustalimy następny krok."
"SRCH-PL-C-OUTSIDE","PC-LAPTOP-REPAIR","Paused","https://naserwis.pl/","komputer","serwis","Naprawa Komputerów Warszawa","Serwis Laptopów","Komputer Działa Wolno?","Diagnostyka Komputera","Serwis Z Dojazdem","Pomoc Dla Domu I Firmy","Warunki Przed Naprawą","Umów Termin Telefonicznie","Diagnozujemy komputery i laptopy. Zakres oraz koszt potwierdzamy przed naprawą.","Wolny komputer lub awaria sprzętu? Umów diagnostykę i wizytę w Warszawie.","Dojazd i termin po uzgodnieniu. Części i dodatkowe prace wymagają akceptacji.","Zadzwoń albo opisz problem w formularzu. Ustalimy właściwy następny krok."
"SRCH-PL-C-OUTSIDE","IT-GENERAL","Paused","https://naserwis.pl/","it","warszawa","Serwis IT Warszawa","Informatyk Z Dojazdem","Pomoc IT Dla Domu I Firmy","Wsparcie Sieci I Komputerów","Obsługa W 4 Językach","Termin Po Uzgodnieniu","Przejrzyste Warunki Usługi","Skontaktuj Się Z Serwisem","Pomoc IT z dojazdem w Warszawie: sieci, Wi-Fi i konfiguracja sprzętu.","Obsługa po polsku, ukraińsku, rosyjsku i angielsku. Termin po uzgodnieniu.","Najpierw poznajemy problem, potem potwierdzamy zakres i warunki wizyty.","Zadzwoń, napisz na komunikatorze lub wyślij formularz kontaktowy."
"SRCH-RU-A-CORE","WIFI-REPAIR","Paused","https://naserwis.pl/ru/naprawa-wifi/","wifi","serwis","Ремонт Wi-Fi В Варшаве","Настройка Роутера","Усилим Покрытие Wi-Fi","Установка Систем Mesh","Мастер С Выездом","Диагностика Сети Wi-Fi","Для Дома И Офиса","Запишитесь По Телефону","Диагностика Wi-Fi, роутера и покрытия. Выезд и время согласуем заранее.","Настроим роутер или Mesh дома и в офисе. Условия подтвердим до визита.","Wi-Fi пропадает или плохо ловит? Проверим сеть и предложим решение.","Помощь на русском, украинском, польском и английском языках."
"SRCH-RU-A-CORE","LAN-INSTALL","Paused","https://naserwis.pl/ru/montaz-sieci/","lan","montaz","Монтаж Сети LAN Варшава","Монтаж Кабельной Сети","Установка Розеток RJ45","Монтаж Шкафа RACK","Сеть LAN Для Офиса","Расчёт После Консультации","Мастер С Выездом","Закажите Осмотр Объекта","Монтаж сетей LAN, розеток RJ45 и шкафов RACK в Варшаве.","Предварительная консультация по телефону. Выезд согласуем заранее.","Сети для квартир, офисов и помещений. Объём и материалы подтвердим до работ.","Позвоните или отправьте описание объекта — предложим следующий шаг."
"SRCH-RU-A-CORE","LAN-CCTV-REPAIR","Paused","https://naserwis.pl/ru/naprawa-sieci/","lan","naprawa","Ремонт Сети LAN","Ремонт Кабельной Сети","Диагностика Сети Офиса","Ремонт Розеток RJ45","Сервис Видеонаблюдения","Выезд По Варшаве","Условия До Визита","Сообщите Об Аварии","Находим неисправности LAN, кабелей и розеток RJ45. Согласуем объём работ.","Помогаем при сбоях сети и видеонаблюдения дома, в офисе или помещении.","Выезд и время согласуем заранее. Результат определим после диагностики.","Опишите проблему в форме или позвоните — согласуем следующий шаг."
"SRCH-RU-A-CORE","PC-LAPTOP-REPAIR","Paused","https://naserwis.pl/ru/","komputer","serwis","Ремонт Компьютеров Варшава","Сервис Ноутбуков","Компьютер Медленно Работает?","Диагностика Компьютера","Мастер С Выездом","Для Дома И Офиса","Условия До Ремонта","Запишитесь По Телефону","Диагностика компьютеров и ноутбуков. Объём и цену подтвердим до ремонта.","Компьютер работает медленно или сломался? Закажите диагностику в Варшаве.","Выезд и время согласуем заранее. Запчасти и допработы — только после согласия.","Позвоните или опишите проблему в форме — согласуем следующий шаг."
"SRCH-RU-A-CORE","IT-GENERAL","Paused","https://naserwis.pl/ru/","it","warszawa","IT Сервис В Варшаве","IT Мастер С Выездом","Помощь Для Дома И Офиса","Сети Wi-Fi И Компьютеры","Поддержка На 4 Языках","Время По Согласованию","Понятные Условия Работы","Свяжитесь С Сервисом","IT-помощь с выездом в Варшаве: сети, Wi-Fi и настройка оборудования.","Обслуживание на русском, украинском, польском и английском языках.","Сначала уточним задачу, затем подтвердим объём и условия визита.","Позвоните, напишите в мессенджер или отправьте контактную форму."
"SRCH-RU-B-WARSAW-FAR","WIFI-REPAIR","Paused","https://naserwis.pl/ru/naprawa-wifi/","wifi","serwis","Ремонт Wi-Fi В Варшаве","Настройка Роутера","Усилим Покрытие Wi-Fi","Установка Систем Mesh","Мастер С Выездом","Диагностика Сети Wi-Fi","Для Дома И Офиса","Запишитесь По Телефону","Диагностика Wi-Fi, роутера и покрытия. Выезд и время согласуем заранее.","Настроим роутер или Mesh дома и в офисе. Условия подтвердим до визита.","Wi-Fi пропадает или плохо ловит? Проверим сеть и предложим решение.","Помощь на русском, украинском, польском и английском языках."
"SRCH-RU-B-WARSAW-FAR","LAN-INSTALL","Paused","https://naserwis.pl/ru/montaz-sieci/","lan","montaz","Монтаж Сети LAN Варшава","Монтаж Кабельной Сети","Установка Розеток RJ45","Монтаж Шкафа RACK","Сеть LAN Для Офиса","Расчёт После Консультации","Мастер С Выездом","Закажите Осмотр Объекта","Монтаж сетей LAN, розеток RJ45 и шкафов RACK в Варшаве.","Предварительная консультация по телефону. Выезд согласуем заранее.","Сети для квартир, офисов и помещений. Объём и материалы подтвердим до работ.","Позвоните или отправьте описание объекта — предложим следующий шаг."
"SRCH-RU-B-WARSAW-FAR","LAN-CCTV-REPAIR","Paused","https://naserwis.pl/ru/naprawa-sieci/","lan","naprawa","Ремонт Сети LAN","Ремонт Кабельной Сети","Диагностика Сети Офиса","Ремонт Розеток RJ45","Сервис Видеонаблюдения","Выезд По Варшаве","Условия До Визита","Сообщите Об Аварии","Находим неисправности LAN, кабелей и розеток RJ45. Согласуем объём работ.","Помогаем при сбоях сети и видеонаблюдения дома, в офисе или помещении.","Выезд и время согласуем заранее. Результат определим после диагностики.","Опишите проблему в форме или позвоните — согласуем следующий шаг."
"SRCH-RU-B-WARSAW-FAR","PC-LAPTOP-REPAIR","Paused","https://naserwis.pl/ru/","komputer","serwis","Ремонт Компьютеров Варшава","Сервис Ноутбуков","Компьютер Медленно Работает?","Диагностика Компьютера","Мастер С Выездом","Для Дома И Офиса","Условия До Ремонта","Запишитесь По Телефону","Диагностика компьютеров и ноутбуков. Объём и цену подтвердим до ремонта.","Компьютер работает медленно или сломался? Закажите диагностику в Варшаве.","Выезд и время согласуем заранее. Запчасти и допработы — только после согласия.","Позвоните или опишите проблему в форме — согласуем следующий шаг."
