"Language","Destination","Channel","Tracked URL"
"ru","general","google_business_profile","https://naserwis.pl/ru/?utm_source=google_business_profile&utm_medium=organic&utm_campaign=non_pl_quick_2026_09&utm_content=ru_general"
"ru","general","facebook","https://naserwis.pl/ru/?utm_source=facebook&utm_medium=social&utm_campaign=non_pl_quick_2026_09&utm_content=ru_general"
"ru","general","telegram","https://naserwis.pl/ru/?utm_source=telegram&utm_medium=community&utm_campaign=non_pl_quick_2026_09&utm_content=ru_general"
"ru","general","local_partner","https://naserwis.pl/ru/?utm_source=local_partner&utm_medium=referral&utm_campaign=non_pl_quick_2026_09&utm_content=ru_general"
"ru","wifi","google_business_profile","https://naserwis.pl/ru/naprawa-wifi/?utm_source=google_business_profile&utm_medium=organic&utm_campaign=non_pl_quick_2026_09&utm_content=ru_wifi"
"ru","wifi","facebook","https://naserwis.pl/ru/naprawa-wifi/?utm_source=facebook&utm_medium=social&utm_campaign=non_pl_quick_2026_09&utm_content=ru_wifi"
"ru","wifi","telegram","https://naserwis.pl/ru/naprawa-wifi/?utm_source=telegram&utm_medium=community&utm_campaign=non_pl_quick_2026_09&utm_content=ru_wifi"
"ru","wifi","local_partner","https://naserwis.pl/ru/naprawa-wifi/?utm_source=local_partner&utm_medium=referral&utm_campaign=non_pl_quick_2026_09&utm_content=ru_wifi"
"ru","lan","google_business_profile","https://naserwis.pl/ru/montaz-sieci/?utm_source=google_business_profile&utm_medium=organic&utm_campaign=non_pl_quick_2026_09&utm_content=ru_lan"
"ru","lan","facebook","https://naserwis.pl/ru/montaz-sieci/?utm_source=facebook&utm_medium=social&utm_campaign=non_pl_quick_2026_09&utm_content=ru_lan"
"ru","lan","telegram","https://naserwis.pl/ru/montaz-sieci/?utm_source=telegram&utm_medium=community&utm_campaign=non_pl_quick_2026_09&utm_content=ru_lan"
"ru","lan","local_partner","https://naserwis.pl/ru/montaz-sieci/?utm_source=local_partner&utm_medium=referral&utm_campaign=non_pl_quick_2026_09&utm_content=ru_lan"
"ru","network","google_business_profile","https://naserwis.pl/ru/naprawa-sieci/?utm_source=google_business_profile&utm_medium=organic&utm_campaign=non_pl_quick_2026_09&utm_content=ru_network"
"ru","network","facebook","https://naserwis.pl/ru/naprawa-sieci/?utm_source=facebook&utm_medium=social&utm_campaign=non_pl_quick_2026_09&utm_content=ru_network"
"ru","network","telegram","https://naserwis.pl/ru/naprawa-sieci/?utm_source=telegram&utm_medium=community&utm_campaign=non_pl_quick_2026_09&utm_content=ru_network"
"ru","network","local_partner","https://naserwis.pl/ru/naprawa-sieci/?utm_source=local_partner&utm_medium=referral&utm_campaign=non_pl_quick_2026_09&utm_content=ru_network"
"uk","general","google_business_profile","https://naserwis.pl/uk/?utm_source=google_business_profile&utm_medium=organic&utm_campaign=non_pl_quick_2026_09&utm_content=uk_general"
"uk","general","facebook","https://naserwis.pl/uk/?utm_source=facebook&utm_medium=social&utm_campaign=non_pl_quick_2026_09&utm_content=uk_general"
"uk","general","telegram","https://naserwis.pl/uk/?utm_source=telegram&utm_medium=community&utm_campaign=non_pl_quick_2026_09&utm_content=uk_general"
"uk","general","local_partner","https://naserwis.pl/uk/?utm_source=local_partner&utm_medium=referral&utm_campaign=non_pl_quick_2026_09&utm_content=uk_general"
"uk","wifi","google_business_profile","https://naserwis.pl/uk/naprawa-wifi/?utm_source=google_business_profile&utm_medium=organic&utm_campaign=non_pl_quick_2026_09&utm_content=uk_wifi"
"uk","wifi","facebook","https://naserwis.pl/uk/naprawa-wifi/?utm_source=facebook&utm_medium=social&utm_campaign=non_pl_quick_2026_09&utm_content=uk_wifi"
"uk","wifi","telegram","https://naserwis.pl/uk/naprawa-wifi/?utm_source=telegram&utm_medium=community&utm_campaign=non_pl_quick_2026_09&utm_content=uk_wifi"
"uk","wifi","local_partner","https://naserwis.pl/uk/naprawa-wifi/?utm_source=local_partner&utm_medium=referral&utm_campaign=non_pl_quick_2026_09&utm_content=uk_wifi"
"uk","lan","google_business_profile","https://naserwis.pl/uk/montaz-sieci/?utm_source=google_business_profile&utm_medium=organic&utm_campaign=non_pl_quick_2026_09&utm_content=uk_lan"
"uk","lan","facebook","https://naserwis.pl/uk/montaz-sieci/?utm_source=facebook&utm_medium=social&utm_campaign=non_pl_quick_2026_09&utm_content=uk_lan"
"uk","lan","telegram","https://naserwis.pl/uk/montaz-sieci/?utm_source=telegram&utm_medium=community&utm_campaign=non_pl_quick_2026_09&utm_content=uk_lan"
"uk","lan","local_partner","https://naserwis.pl/uk/montaz-sieci/?utm_source=local_partner&utm_medium=referral&utm_campaign=non_pl_quick_2026_09&utm_content=uk_lan"
